symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
BLL,52,4.975841999053955,0.6614648699760437,0.6363636255264282,0.6785714626312256,0.7777777314186096,-0.012229045550986806
BMY,46,3.2302160263061523,0.7354044318199158,0.4000000059604645,0.4375,0.0,-0.1289181242598758
BR,36,2.1226162910461426,0.6749160289764404,0.625,0.7333332896232605,0.0,-0.027862125791419556
BRK.B,40,2.4592032432556152,0.6902463436126709,0.5,0.7333332896232605,0.4999999701976776,-0.060481271591672714
BRO,38,2.38645601272583,0.7630058526992798,0.5,0.34375,0.6666666269302368,-0.1303335844218978
BSX,88,4.27011513710022,0.6995581388473511,0.4444444477558136,0.550000011920929,0.0,-0.02546531424314047
BWA,145,5.352970123291016,0.7092642188072205,0.48275861144065857,0.49761906266212463,0.0,-0.033125566185645994
BXP,64,3.522458076477051,0.7345405220985413,0.46153849363327026,0.369047611951828,0.6315789222717285,-0.0874691845696236
C,85,4.6140971183776855,0.7058197259902954,0.4117647111415863,0.6642857193946838,0.0,-0.05827409131143457
CAG,67,5.982399940490723,0.6997732520103455,0.5,0.3645833730697632,0.0,-0.03422457290091008
CAH,78,3.8045260906219482,0.7383453845977783,0.4375,0.6031746864318848,0.0,-0.10622094959873607
CARR,58,5.53098201751709,0.6884835958480835,0.5833333730697632,0.4571428596973419,0.736842155456543,-0.018947431895764977
CAT,83,3.871340751647949,0.6666510105133057,0.6470588445663452,0.45454543828964233,0.0,-0.03689209286790551
CB,54,3.2951719760894775,0.7032386660575867,0.5454545617103577,0.6833333373069763,0.7058823108673096,-0.027529194628859832
CBOE,53,3.5767931938171387,0.680009663105011,0.6363636255264282,0.7666666507720947,0.714285671710968,0.01814194885210596
CBRE,100,11.619493961334229,0.666904866695404,0.5,0.6510416269302368,0.5454545021057129,0.010301311109490174
CCI,49,3.0247819423675537,0.6566278338432312,0.699999988079071,0.4523809552192688,0.8235293626785278,-0.10384099658954016
CCL,146,19.83522891998291,0.7252970337867737,0.5,0.48222222924232483,0.4827585816383362,-0.06541381015936487
CDAY,122,6.62667179107666,0.7010725140571594,0.5600000023841858,0.3044871985912323,0.7027026414871216,-0.017427397094441632
CDNS,93,4.097283124923706,0.7215235829353333,0.4736842215061188,0.5833333730697632,0.0,-0.058803526162648945
CDW,89,4.929998874664307,0.6841166019439697,0.5555555820465088,0.59375,0.714285671710968,0.005707858363163565
CE,78,9.607349872589111,0.66237872838974,0.5625,0.5952380895614624,0.2222222089767456,0.04567916983127829
CERN,62,3.0600199699401855,0.6755892038345337,0.6153846383094788,0.6625000238418579,0.0,-0.019246868268212758
CF,175,34.295878887176514,1.5345860719680786,0.48571428656578064,0.40625,0.5277777314186096,-0.7731790587866123
CFG,140,5.291218996047974,0.684327244758606,0.6071428656578064,0.5374332070350647,0.0,-0.029653785127254695
CHD,40,8.062110900878906,0.5732403993606567,0.625,0.6666666269302368,0.3999999463558197,-0.05338167399369409
CHRW,59,2.9619641304016113,0.7238259315490723,0.5,0.402777761220932,0.6666666269302368,-0.05943820582213166
CHTR,73,4.717792987823486,0.6778349280357361,0.6000000238418579,0.6018518209457397,0.7499999403953552,-0.00988705446321192
CI,64,3.538163900375366,0.6930923461914062,0.46153849363327026,0.5476190447807312,0.4615384340286255,-0.005842647894116926
CINF,50,2.7189669609069824,0.7246404886245728,0.30000001192092896,0.4285714328289032,0.0,-0.2653201547013957
CL,26,2.4386019706726074,0.7012920379638672,0.3333333432674408,0.625,0.0,-0.143315335364129
CLX,31,2.515805959701538,0.7349827289581299,0.2857142984867096,0.550000011920929,0.0,-0.32721597091300936
CMA,131,5.247557878494263,0.6583383679389954,0.6296296119689941,0.5147058963775635,0.7727271914482117,0.0016522902360575076
CMCSA,43,2.4224839210510254,0.7652505040168762,0.3333333432674408,0.8333333134651184,0.4999999701976776,-0.2854898104285155
CME,49,2.636245012283325,0.7381901144981384,0.4000000059604645,0.3541666567325592,0.5714285373687744,-0.13457426933392114
CMG,107,4.028743267059326,0.7398408055305481,0.3636363744735718,0.5446428656578064,0.0,-0.1805601079660495
CMI,76,10.074409008026123,0.7039188742637634,0.6875,0.4920635223388672,0.5454545021057129,-0.03398089609983135
CMS,33,2.2499289512634277,0.7565305829048157,0.2857142984867096,0.8999999761581421,0.0,-0.3793985686529735
CNC,111,5.259603977203369,0.6642998456954956,0.6521739363670349,0.3583333492279053,0.0,-0.038682928955786844
CNP,66,12.959084749221802,0.5349167585372925,0.6428571939468384,0.9555555582046509,0.6666666269302368,0.19118956709155244
COF,100,5.4785919189453125,0.6975237727165222,0.5,0.4599999785423279,0.6666666269302368,-0.008736425247886315
COO,52,3.7807071208953857,0.7347165942192078,0.4545454680919647,0.699999988079071,0.6249999403953552,-0.09064880554089605
COP,159,5.8638999462127686,0.6913806200027466,0.53125,0.5137255191802979,0.0,-0.0003678449820447849
COST,29,6.53931999206543,0.6628296375274658,0.3333333432674408,0.625,0.333333283662796,-0.05909921897463066
CPB,49,2.7104220390319824,0.689202070236206,0.5,0.5199999809265137,0.4444444179534912,0.007883122716012325
CPRT,80,5.77237606048584,0.6926583051681519,0.5,0.6015625,0.0,0.0009930267399791415
CRL,85,3.6200788021087646,0.7349989414215088,0.47058823704719543,0.5347222089767456,0.0,-0.08542543639200861
CRM,92,5.381004810333252,0.6838495135307312,0.5789473652839661,0.4318181574344635,0.0,-0.0065193639303056106
CSCO,61,3.6854119300842285,0.6962174773216248,0.5384615659713745,0.2738094925880432,0.0,-0.01211299855028325
CSX,87,11.658758878707886,0.7916116714477539,0.5,0.4437500238418579,0.5263157486915588,-0.18366344534948875
CTAS,63,3.410001039505005,0.6916741132736206,0.5384615659713745,0.8095238208770752,0.0,-0.003110306997882839
CTLT,128,13.704546928405762,0.7463648319244385,0.5384615659713745,0.4166666269302368,0.6470587253570557,-0.10598595351651996
CTRA,243,7.150257110595703,0.6848287582397461,0.5918367505073547,0.5129310488700867,0.7707617878913879,-0.017714588527920405
CTSH,64,3.418466806411743,0.9233862161636353,0.38461539149284363,0.612500011920929,0.555555522441864,-0.49819574647620524
CTVA,79,6.0929460525512695,0.6861549615859985,0.625,0.4166666865348816,0.7500000596046448,-0.05175092407032156
CTXS,76,3.3522541522979736,0.6920179724693298,0.5,0.5793651342391968,0.6363636255264282,-0.01358043189180913
CVS,69,4.184201002120972,0.6993290781974792,0.5714285969734192,0.3020833432674408,0.0,-0.03167952557843523
CVX,74,3.3292112350463867,0.6850536465644836,0.6000000238418579,0.638888955116272,0.0,-0.02481615537242532
CZR,288,21.108952045440674,0.6792289614677429,0.5862069129943848,0.5652173757553101,0.5139572620391846,-0.016686105415615327
D,29,2.698308229446411,0.8079659342765808,0.3333333432674408,0.75,0.0,-0.37729495431954385
DAL,122,4.947965860366821,0.6615725755691528,0.6399999856948853,0.3333333432674408,0.0,-0.017009170564936893
DD,79,8.239711046218872,0.6997596025466919,0.5,0.6000000238418579,0.5555555820465088,-0.08071174413497717
DE,75,5.472790718078613,0.6957730054855347,0.6000000238418579,0.4000000059604645,0.6666666269302368,-0.130897209919417
DFS,106,5.4632368087768555,0.7022559642791748,0.5454545617103577,0.5208333730697632,0.7058823108673096,-0.025428791091088865
DG,61,3.6458098888397217,0.7203167080879211,0.5384615659713745,0.8571428656578064,0.699999988079071,-0.0574017471937025
DGX,67,3.283811092376709,0.7028282880783081,0.5714285969734192,0.59375,0.0,-0.037422998198282764
DHI,136,6.6110851764678955,0.6474943161010742,0.6785714626312256,0.6929824352264404,0.8085106015205383,-0.0424003608132022
DHR,48,3.9962759017944336,0.646887481212616,0.699999988079071,0.5952380895614624,0.0,-0.08098279419544108
DIS,63,3.8996763229370117,0.7259291410446167,0.5384615659713745,0.3095238208770752,0.0,-0.06712882377068152
DISCA,184,5.870482921600342,0.7085018754005432,0.4864864945411682,0.6461988687515259,0.0,-0.03114193153629974
DISCK,172,16.2133207321167,0.6879597902297974,0.6285714507102966,0.5964052081108093,0.656862735748291,0.012278169969366703
DISH,177,6.534040212631226,0.691940188407898,0.6388888955116272,0.5190476179122925,0.8414633870124817,-0.02608757923490157
DLR,52,5.682085990905762,0.6931777000427246,0.5454545617103577,0.5666667222976685,0.6666666269302368,-0.00839809852948692
DLTR,77,3.7705459594726562,0.6891682744026184,0.625,0.28333333134651184,0.7692307233810425,-0.05817241521837202
DOV,76,6.693848133087158,0.6817473769187927,0.625,0.634920597076416,0.7272727489471436,0.007253379561299345
DOW,88,7.729290962219238,0.6553581953048706,0.6666666865348816,0.649350643157959,0.5,0.026781681709091232
DPZ,68,3.853430986404419,0.8110359907150269,0.2142857313156128,0.6818181276321411,0.0,-0.8309976412598357
DRE,59,3.361893892288208,0.7054880857467651,0.4166666865348816,0.6857142448425293,0.5882352590560913,-0.05392363834613567
DRI,95,4.636720180511475,0.7104255557060242,0.5263158082962036,0.37222224473953247,0.0,-0.0362024060251509
DUK,23,2.782166004180908,0.6866773962974548,0.6000000238418579,0.3333333432674408,0.7499999403953552,-0.0262459563032007
DVA,78,18.15493106842041,0.5931620597839355,0.625,0.7222222089767456,0.6666666865348816,0.1598922773236987
DVN,299,9.743574142456055,0.6917383074760437,0.5333333611488342,0.516183078289032,0.0,-0.0016069252834183256
DXC,167,5.861269950866699,0.6673532128334045,0.6470588445663452,0.5246211886405945,0.0,-0.03844503612071559
DXCM,144,6.794095993041992,0.691091001033783,0.517241358757019,0.547619104385376,0.6818181276321411,0.002928752487179831
EA,84,4.579274892807007,0.6297886967658997,0.7058823704719543,0.6499999761581421,0.0,-0.0534354060771447
EBAY,86,5.915398120880127,0.6884401440620422,0.5,0.5987654328346252,0.6399999856948853,0.009394594056073458
ECL,56,3.5189368724823,0.7246524691581726,0.5,0.2777777910232544,0.6666666269302368,-0.061068523930810414
ED,31,2.650386095046997,0.7583838701248169,0.4285714626312256,0.375,0.5999999642372131,-0.1507255186171519
EFX,61,6.602544069290161,0.797871470451355,0.46153849363327026,0.1904761791229248,0.6315789222717285,-0.20306747101032885
EIX,60,5.189394235610962,0.6929826736450195,0.5,0.5833333730697632,0.0,0.00032318118087582004
EL,62,6.759812116622925,0.7141045928001404,0.46153849363327026,0.8333333134651184,0.0,-0.04945102560145287
EMN,104,6.1849470138549805,0.7256576418876648,0.380952388048172,0.4807692766189575,0.0,-0.12866974286088628
EMR,77,5.844402074813843,0.6932758092880249,0.5,0.765625,0.0,-0.000376052535448812
ENPH,569,20.915526866912842,0.6877254843711853,0.5263158082962036,0.5533769130706787,0.5766214728355408,-0.00028025680580201495
EOG,208,8.85117793083191,0.700722873210907,0.4761904776096344,0.5363636016845703,0.0,-0.017371924426117014
EQIX,58,4.6788671016693115,0.7142218351364136,0.5,0.1805555522441864,0.6666666269302368,-0.04138859512745685
EQR,55,3.9640052318573,0.934594452381134,0.27272728085517883,0.5833333134651184,0.0,-0.8376272485877871
