symbol, n_gaps, test_loss, test_acc, test_auc, test_f1, r2
SIVB,157,0.43537256121635437,0.808917224407196,0.8882113695144653,0.7995701432228088,0.4480907357503463
SWKS,150,0.5301876664161682,0.7666667103767395,0.8211607336997986,0.7638904452323914,0.290988374448485
GD,50,0.6598806381225586,0.5999999642372131,0.6338140964508057,0.548611044883728,0.052473386266175814
CZR,288,0.5472898483276367,0.6875,0.7868915796279907,0.6524893045425415,0.24475850683028932
CHD,40,0.4315556585788727,0.824999988079071,0.8667582273483276,0.7529411315917969,0.3835803157879992
FB,99,0.5810571312904358,0.6666666865348816,0.7637407779693604,0.6319760084152222,0.20044645022597407
WBA,54,0.7100664377212524,0.5185185074806213,0.6137930750846863,0.5441175699234009,-0.014328187396503989
EIX,60,0.42962920665740967,0.8500000238418579,0.8950000405311584,0.8554054498672485,0.45670527066050515
TDY,82,0.4737139642238617,0.7682927250862122,0.8233974575996399,0.8253968954086304,0.32823632826215676
BDX,44,0.42279666662216187,0.8636363744735718,0.8910256624221802,0.8444443941116333,0.4430150046949185
MU,185,0.6042672395706177,0.6864864826202393,0.7412341833114624,0.6845818758010864,0.16771145516510155
XRAY,69,0.5106438398361206,0.7971014380455017,0.8340371251106262,0.8438438773155212,0.3301811584219997
CAH,78,0.4554246962070465,0.7564102411270142,0.8660714030265808,0.7217380404472351,0.40217214491962827
AMT,43,0.4781894087791443,0.8372092843055725,0.8684210777282715,0.822115421295166,0.3670118681961535
VRSK,39,0.4396365284919739,0.8717948794364929,0.8905326128005981,0.7999999523162842,0.383942638940727
INCY,168,0.4727354049682617,0.7678571343421936,0.8526353240013123,0.7393096685409546,0.3719361590760275
HST,135,0.39581793546676636,0.8518518209457397,0.9196311235427856,0.8712652325630188,0.5048888203417652
FMC,110,0.4625087082386017,0.8000000715255737,0.8601456880569458,0.8243577480316162,0.39089943253428683
BWA,145,0.5049826502799988,0.7310344576835632,0.8380000591278076,0.6707522869110107,0.32717452857192497
POOL,68,0.5554722547531128,0.6911764740943909,0.7755190134048462,0.6729644536972046,0.23022218775910164
HOLX,84,0.4627768397331238,0.785714328289032,0.8774929046630859,0.8116227984428406,0.3922829160637227
DGX,67,0.42487674951553345,0.7910447716712952,0.8871123790740967,0.7979797720909119,0.3981604404509218
GE,104,0.5758835673332214,0.701923131942749,0.7593005895614624,0.6543513536453247,0.20295343534209964
IT,76,0.405070960521698,0.8552631735801697,0.9104167222976685,0.8825117349624634,0.4968186674804883
AVY,55,0.5010949969291687,0.7818182110786438,0.8301630616188049,0.803827702999115,0.32009367897576113
NWL,127,0.48633310198783875,0.787401556968689,0.8475185632705688,0.7913578748703003,0.36234499131422526
TRMB,106,0.4899137318134308,0.7547169923782349,0.8405172824859619,0.7520978450775146,0.3501782068687783
WRK,147,0.4535554051399231,0.7823129296302795,0.8739738464355469,0.7759751677513123,0.40195925402653643
VNO,90,0.520132303237915,0.7777777910232544,0.8301091194152832,0.7398990392684937,0.3206739697746822
TAP,80,0.47260352969169617,0.800000011920929,0.8703007698059082,0.8027777671813965,0.41380728999537564
VZ,17,0.36427876353263855,1.0,1.0,1.0,0.5772982712620097
CARR,58,0.6102627515792847,0.5862069129943848,0.7180405855178833,0.6018099188804626,0.13637546403560508
IRM,63,0.5257259607315063,0.7777778506278992,0.806584358215332,0.7478259801864624,0.27768330362655247
UPS,48,0.5913286209106445,0.7083333730697632,0.766086995601654,0.6666666269302368,0.18760230381656862
DHI,136,0.4741373062133789,0.8014705777168274,0.8792648315429688,0.8142424821853638,0.3808501230360577
TER,147,0.5147126317024231,0.7551020383834839,0.8280207514762878,0.7549677491188049,0.3129602540428331
NWS,73,0.4571891725063324,0.835616409778595,0.8813813924789429,0.7932692766189575,0.42690054547675993
TSN,70,0.4502343535423279,0.7428571581840515,0.8791118264198303,0.7302867770195007,0.40432559255979894
TDG,104,0.4621538817882538,0.7403846383094788,0.867001473903656,0.7607182264328003,0.3856923649472138
LW,71,0.4646403193473816,0.7605633735656738,0.8561208248138428,0.6529014706611633,0.4083921179139317
FAST,77,0.5335906147956848,0.6753246784210205,0.8020408153533936,0.7041666507720947,0.26669461531641925
DOV,76,0.4789653718471527,0.75,0.8475694060325623,0.7538461089134216,0.35565331730460004
PH,93,0.4450984597206116,0.7634408473968506,0.8754630088806152,0.7583149671554565,0.4138337615511961
TEL,75,0.36679160594940186,0.8533333539962769,0.9318508505821228,0.8861433267593384,0.548203592179969
CCL,146,0.5646995306015015,0.7465753555297852,0.7966197729110718,0.7400714755058289,0.2401780231198568
ODFL,85,0.4047988951206207,0.8117647171020508,0.9054054021835327,0.83766770362854,0.47539803668544345
DUK,23,0.44709405303001404,0.8260869979858398,0.8916667103767395,0.8571429252624512,0.3667449081651144
MSFT,56,0.5558812618255615,0.660714328289032,0.7692307829856873,0.6176470518112183,0.2354686629427657
DVA,78,0.4362848401069641,0.807692289352417,0.8869047164916992,0.8155828714370728,0.4379051154499011
ISRG,91,0.508621871471405,0.7472527623176575,0.8292683362960815,0.6872744560241699,0.31616950883454586
CVS,69,0.4998283386230469,0.7536231875419617,0.8249129056930542,0.7224387526512146,0.3049232476242868
PTC,114,0.4451521635055542,0.7982456088066101,0.8794348239898682,0.7742626667022705,0.4142484433370497
DTE,34,0.3952297568321228,0.7941176295280457,0.9307958483695984,0.7333333492279053,0.5019896165972519
MLM,98,0.4160493314266205,0.8469387292861938,0.8973042964935303,0.6502065062522888,0.45651017772436786
GOOGL,68,0.588581919670105,0.7058823704719543,0.7409372329711914,0.45505374670028687,0.17166305459436892
OMC,69,0.4998484253883362,0.739130437374115,0.8177609443664551,0.7201425433158875,0.3179290381376719
VIAC,82,0.5014598965644836,0.792682945728302,0.8562802076339722,0.7558420896530151,0.3286309482677795
CDW,89,0.5465477705001831,0.7078651785850525,0.7948328256607056,0.6871728301048279,0.25351839912790275
PAYC,178,0.48552265763282776,0.7752808928489685,0.848141074180603,0.7343515157699585,0.3503171353619886
NWSA,100,0.4862414300441742,0.7999999523162842,0.8503031730651855,0.7436258792877197,0.34709428945293586
VFC,99,0.5305101871490479,0.7070707082748413,0.8098851442337036,0.6673253774642944,0.2838393212810687
WAT,66,0.5127511620521545,0.7878788113594055,0.8429751992225647,0.8540241122245789,0.33751685832049383
JPM,57,0.5425514578819275,0.7543859481811523,0.8142857551574707,0.6785714030265808,0.23093790245496937
HBI,165,0.5247495770454407,0.7151515483856201,0.8132072687149048,0.7236725091934204,0.2881699883652057
ALL,49,0.44958260655403137,0.7346938848495483,0.8825000524520874,0.6637930870056152,0.40421106088924097
IDXX,75,0.3756522238254547,0.8400000333786011,0.9242857098579407,0.8454364538192749,0.5340493567655502
ABBV,53,0.5091119408607483,0.698113203048706,0.8394736647605896,0.591478705406189,0.16353043896642527
CFG,140,0.45645028352737427,0.8214285969734192,0.8780412673950195,0.7963501811027527,0.4129247652867417
CRM,92,0.5741699934005737,0.6847826242446899,0.7699665427207947,0.6514171361923218,0.20238785871744702
EMN,104,0.45470577478408813,0.7692307829856873,0.8748140335083008,0.8256409764289856,0.3959605953043648
MOS,159,0.4778080880641937,0.7610062956809998,0.8544141054153442,0.7276381254196167,0.3642475128312258
LMT,39,0.45979300141334534,0.8717948794364929,0.9347826242446899,0.8571428060531616,0.4022531591115165
EXPD,56,0.42510464787483215,0.785714328289032,0.8782051801681519,0.7846889495849609,0.43636824301385657
STT,101,0.49101558327674866,0.7425742745399475,0.8464705348014832,0.8017319440841675,0.34479013801384684
XLNX,114,0.5367007851600647,0.7368420958518982,0.8055470585823059,0.7491391897201538,0.2712051663106787
GPC,53,0.38825565576553345,0.8301886916160583,0.9099999666213989,0.792792797088623,0.5143967993805451
STZ,63,0.45244091749191284,0.7777778506278992,0.8845766186714172,0.7586206197738647,0.4105544478438299
K,36,0.48822668194770813,0.75,0.856249988079071,0.6439393758773804,0.33964995850526725
SNA,75,0.454664409160614,0.8133333325386047,0.8811110854148865,0.8023673295974731,0.3936681244186906
VLO,127,0.509852409362793,0.7716535329818726,0.8309595584869385,0.739721417427063,0.3124153296577715
CBOE,53,0.4138951599597931,0.8301886916160583,0.9064285755157471,0.8590785264968872,0.4692796083196037
HSIC,76,0.49651458859443665,0.7631579041481018,0.8413028717041016,0.6819443702697754,0.34450059317440895
LOW,74,0.4311482012271881,0.824324369430542,0.9211103320121765,0.8159359693527222,0.4573497304416272
BK,81,0.5996983051300049,0.6913580298423767,0.7255799770355225,0.7210366129875183,0.16042142316851482
FRC,78,0.5294051766395569,0.7307692170143127,0.7976744771003723,0.6555555462837219,0.26763081412905865
PRU,97,0.5053780674934387,0.7525773644447327,0.8481912612915039,0.573613703250885,0.3270442732979367
CTVA,79,0.48599180579185486,0.746835470199585,0.8578431606292725,0.7703704237937927,0.34456257426801007
WHR,120,0.428230881690979,0.8000000715255737,0.901583731174469,0.8091421127319336,0.4479341283103463
